City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,chom thong,18.4174,98.6743,20.05,90,64,0.4,TH,1701207952
280,posse,-14.0931,-46.3694,27.72,28,39,1.28,BR,1701207952
281,codrington,-38.2667,141.9667,14.91,89,100,9.69,AU,1701207452
282,uusikaupunki,60.8004,21.4084,-3.18,90,81,6.35,FI,1701207952
283,kenora,49.8167,-94.4337,-3.46,80,75,4.63,CA,1701207953
284,bardai,11.65,7.2333,24.38,29,10,3.63,NG,1701207699
285,shimoda,34.6667,138.95,8.95,59,0,12.93,JP,1701207953
286,nuku'alofa,-21.1333,-175.2,29.19,89,20,5.14,TO,1701207518
287,nyzhni sirohozy,46.8484,34.3804,7.27,68,100,9.89,UA,1701207953
288,san antonio de pale,-1.4014,5.6325,26.87,81,23,4.06,GQ,1701207396
289,karatau,43.1667,70.4667,12.96,39,100,2.77,KZ,1701207954
290,hailar,49.2,119.7,-17.17,91,100,4.75,CN,1701207954
291,novaya mayna,54.15,49.75,-9.0,97,49,1.51,RU,1701207954
292,gobabis,-22.45,18.9667,21.69,56,98,12.28,NA,1701207499
293,solnechnyy,50.7214,136.6319,-15.54,99,94,0.83,RU,1701207646
294,selkirk,50.1436,-96.8845,3.04,89,60,3.17,CA,1701207725
295,sinop,41.7711,34.8709,3.6,53,100,8.87,TR,1701207955
296,queenstown,-31.8976,26.8753,14.14,77,96,4.7,ZA,1701207582
297,cova figueira,14.8905,-24.2934,21.85,77,6,7.13,CV,1701207955
298,ghazni,33.5536,68.4269,4.18,41,100,0.06,AF,1701207956
299,tsengel,49.4783,100.8894,-16.86,90,9,2.11,MN,1701207956
300,punakha,27.5837,89.8598,12.3,60,91,1.0,BT,1701207956
301,georgievka,49.3314,81.5761,-0.57,60,96,3.03,KZ,1701207956
302,annau,37.8876,58.516,9.72,100,100,5.14,TM,1701207957
303,keflavik,64.0049,-22.5624,1.95,86,75,4.12,IS,1701207400
304,nuevo ideal,24.8875,-105.0728,21.24,18,4,0.33,MX,1701207957
305,isiro,2.7739,27.616,19.43,98,93,0.8,CD,1701207957
306,lukolela,-1.0605,17.1821,21.95,96,98,1.24,CD,1701207958
307,ingeniero guillermo n. juarez,-23.9,-61.85,34.16,45,3,5.07,AR,1701207769
308,anderstorp,58.8833,14.2833,-6.87,92,100,3.14,SE,1701207958
309,santa cruz,-17.8,-63.1667,29.03,61,20,11.32,BO,1701207359
310,olinda,-8.0089,-34.8553,26.85,69,20,5.14,BR,1701207419
311,saint-pierre,-21.3393,55.4781,22.82,68,8,2.57,RE,1701207506
312,rikaze,29.25,88.8833,-3.01,66,100,0.72,CN,1701207959
313,iskateley,67.6803,53.1512,-17.21,95,100,4.92,RU,1701207646
314,saint-philippe,-21.3585,55.7679,22.77,83,36,3.94,RE,1701207680
315,tuy hoa,13.0833,109.3,23.05,88,98,2.57,VN,1701207960
316,tabuk,17.4189,121.4443,23.33,92,94,0.21,PH,1701207960
317,manastirea,44.2167,26.9,6.68,90,100,6.99,RO,1701207960
318,tarsus,36.9188,34.8784,6.93,49,60,2.32,TR,1701207961
319,masterton,-40.9597,175.6575,14.94,91,100,2.69,NZ,1701207705
320,rongelap,11.1635,166.8941,27.29,79,91,9.75,MH,1701207447
321,ola,59.5833,151.2833,-13.13,79,100,3.92,RU,1701207420
322,cabo san lucas,22.8909,-109.9124,30.61,62,0,2.24,MX,1701207341
323,iquitos,-3.7481,-73.2472,32.02,62,40,2.57,PE,1701207962
324,hasaki,35.7333,140.8333,1.22,35,0,0.35,JP,1701207480
325,uturoa,-16.7333,-151.4333,27.01,79,60,8.94,PF,1701207414
